id	filename	md5	size	state
21a77f28-8512-4224-9987-0eef620511e3	TCGA.THYM.muse.21a77f28-8512-4224-9987-0eef620511e3.DR-10.0.somatic.maf.gz	747b5ba949c5903b1b94b691fc554fbf	683336	released
422bff06-f1b2-4768-be4a-8bcb82644ce2	TCGA.ACC.somaticsniper.422bff06-f1b2-4768-be4a-8bcb82644ce2.DR-10.0.somatic.maf.gz	877c8da1e2c5a17110b97366ef5b4953	2243253	released
0cdf3c70-ad58-462d-b6ba-5004b26c618e	TCGA.LAML.muse.0cdf3c70-ad58-462d-b6ba-5004b26c618e.DR-10.0.somatic.maf.gz	f125e4ea2ddaef6b993ecbfd6532c0f1	843781	released
805016c4-8fd8-4848-ae7c-3a1d0cdbff86	TCGA.TGCT.varscan.805016c4-8fd8-4848-ae7c-3a1d0cdbff86.DR-10.0.somatic.maf.gz	2e35907d3fb6575162650486a20a2759	717443	released
7837f512-39c2-4c7c-a338-43e51a54701c	TCGA.CHOL.muse.7837f512-39c2-4c7c-a338-43e51a54701c.DR-10.0.somatic.maf.gz	18440ef2d21feb668683c9014ee7d00b	940692	released
faa5f62a-2731-4867-a264-0e85b7074e87	TCGA.READ.mutect.faa5f62a-2731-4867-a264-0e85b7074e87.DR-10.0.somatic.maf.gz	df0e6a7404d13a4b3f80a350c4582eff	15185535	released
e595f93d-41ac-435e-8c90-06df7e9d6742	TCGA.LAML.varscan.e595f93d-41ac-435e-8c90-06df7e9d6742.DR-10.0.somatic.maf.gz	f22632b9dad29908888dddab179ef24f	1109398	released
e433a47f-7281-42aa-8bba-0affd1eb6df0	TCGA.SKCM.muse.e433a47f-7281-42aa-8bba-0affd1eb6df0.DR-10.0.somatic.maf.gz	329fa9a45d256aa152ce8c39fbd7e644	83840531	released
e3ad739d-6baa-4c42-a6f7-786d069239c1	TCGA.CHOL.varscan.e3ad739d-6baa-4c42-a6f7-786d069239c1.DR-10.0.somatic.maf.gz	1040c97a0739159a229525c8a779e1db	1238126	released
712350fe-c380-4894-9bb5-c8f94dc59b32	TCGA.KICH.somaticsniper.712350fe-c380-4894-9bb5-c8f94dc59b32.DR-10.0.somatic.maf.gz	05537fae498b611dc10f7e707a296b99	531263	released
5b9653b9-683c-4add-a3bd-2d238ed69205	TCGA.KIRP.somaticsniper.5b9653b9-683c-4add-a3bd-2d238ed69205.DR-10.0.somatic.maf.gz	f4e25df5aff491b770161c24235f2cf2	4714978	released
45747e1f-7a37-4d82-b722-ae76fe5a0fcf	TCGA.CESC.somaticsniper.45747e1f-7a37-4d82-b722-ae76fe5a0fcf.DR-10.0.somatic.maf.gz	5b61f546ac3dc103d112de0d429e4ba3	18972940	released
4a755399-e5b5-4d0e-b1e3-dae24b81590e	TCGA.BLCA.varscan.4a755399-e5b5-4d0e-b1e3-dae24b81590e.DR-10.0.somatic.maf.gz	0e59936e32b1f5ec916b20d153acd449	29621334	released
0458c57f-316c-4a7c-9294-ccd11c97c2f9	TCGA.LUAD.mutect.0458c57f-316c-4a7c-9294-ccd11c97c2f9.DR-10.0.somatic.maf.gz	fd7e2e6086332b2152626264ab6d6d5d	50299539	released
7ed5eb26-d52c-45c5-bfa1-e39f963007a8	TCGA.BLCA.muse.7ed5eb26-d52c-45c5-bfa1-e39f963007a8.DR-10.0.somatic.maf.gz	9a9d2faa245cd5c0d57511b2325958c6	29745431	released
6a5e4a85-f398-43b0-89cf-a680fd3737fa	TCGA.STAD.somaticsniper.6a5e4a85-f398-43b0-89cf-a680fd3737fa.DR-10.0.somatic.maf.gz	f6136aa57188385c6850b8a3e4cc00ae	30602667	released
9dab6855-ba5e-4afb-b3a0-f034a6f82eb2	TCGA.ESCA.varscan.9dab6855-ba5e-4afb-b3a0-f034a6f82eb2.DR-10.0.somatic.maf.gz	f87bc0bfc5557f028b0a68042da79d47	10061182	released
1a7c5a64-2d41-4a4f-b3b0-94add4982504	TCGA.UCS.somaticsniper.1a7c5a64-2d41-4a4f-b3b0-94add4982504.DR-10.0.somatic.maf.gz	e20b9040a961ce4a717b6db52b20b60f	2028344	released
225a3a8f-27fd-4d9f-b8af-4eadbae9304e	TCGA.HNSC.muse.225a3a8f-27fd-4d9f-b8af-4eadbae9304e.DR-10.0.somatic.maf.gz	3c05ffd4c9ffe0b21fd7d5674c4e78bd	21328114	released
da904cd3-79d7-4ae3-b6c0-e7127998b3e6	TCGA.GBM.mutect.da904cd3-79d7-4ae3-b6c0-e7127998b3e6.DR-10.0.somatic.maf.gz	ba4d05effaea1821aebd9f5609f4fcb1	20417648	released
a53af417-1d4d-496a-ad9c-e50cbf77b9d6	TCGA.UVM.muse.a53af417-1d4d-496a-ad9c-e50cbf77b9d6.DR-10.0.somatic.maf.gz	cc46297978244e654679afe7137933db	395749	released
3f73f93c-a372-4097-bdff-77ca9760c6d3	TCGA.HNSC.somaticsniper.3f73f93c-a372-4097-bdff-77ca9760c6d3.DR-10.0.somatic.maf.gz	2071846e26846071376de42cd693c504	16175695	released
eea22323-9e5b-45e3-90c2-8aa7d07da175	TCGA.DLBC.muse.eea22323-9e5b-45e3-90c2-8aa7d07da175.DR-10.0.somatic.maf.gz	f32d4d95a120d419a532bb8cec79581c	1483336	released
3e48014d-ce4a-4937-bba4-13eaf631a64a	TCGA.OV.somaticsniper.3e48014d-ce4a-4937-bba4-13eaf631a64a.DR-10.0.somatic.maf.gz	2e2acbce23e19909921e5f261e752ec6	7593913	released
bd3cdd86-a5ce-43dc-92b2-9c2c3105d1df	TCGA.SARC.varscan.bd3cdd86-a5ce-43dc-92b2-9c2c3105d1df.DR-10.0.somatic.maf.gz	340d3b45907eeafd9ec7ca9a9914f8c2	6142767	released
